Date,Close*
6/15/2010,76.94
6/14/2010,75.12
6/11/2010,73.78
6/10/2010,75.48
6/9/2010,74.38
6/8/2010,71.99
6/7/2010,71.44
6/4/2010,71.51
6/3/2010,74.61
6/2/2010,72.86
6/1/2010,72.58
5/28/2010,73.97
5/27/2010,74.55
5/26/2010,71.51
5/25/2010,68.75
5/24/2010,70.21
5/21/2010,70.04
5/20/2010,68.01
5/19/2010,69.87
5/18/2010,69.41
5/17/2010,70.08
5/14/2010,71.61
5/13/2010,74.4
5/12/2010,75.65
5/11/2010,76.37
5/10/2010,76.8
5/7/2010,75.11
5/6/2010,77.11
5/5/2010,79.97
5/4/2010,82.74
5/3/2010,86.19
4/30/2010,86.15
4/29/2010,85.17
4/28/2010,83.22
4/27/2010,82.44
4/26/2010,84.2
4/23/2010,85.12
4/22/2010,83.7
4/21/2010,83.68
4/20/2010,83.45
4/19/2010,81.45
4/16/2010,83.24
4/15/2010,85.51
4/14/2010,85.84
4/13/2010,84.05
4/12/2010,84.34
4/9/2010,84.92
4/8/2010,85.39
4/7/2010,85.88
4/6/2010,86.84
4/5/2010,86.62
4/1/2010,84.87
3/31/2010,83.76
3/30/2010,82.37
3/29/2010,82.17
3/26/2010,80
3/25/2010,80.53
3/24/2010,80.61
3/23/2010,81.91
3/22/2010,81.25
3/19/2010,80.68
3/18/2010,82.2
3/17/2010,82.93
3/16/2010,81.7
3/15/2010,79.8
3/12/2010,81.24
3/11/2010,82.11
3/10/2010,82.09
3/9/2010,81.49
3/8/2010,81.87
3/5/2010,81.5
3/4/2010,80.21
3/3/2010,80.87
3/2/2010,79.68
3/1/2010,78.7
2/26/2010,79.66
2/25/2010,78.17
2/24/2010,80
2/23/2010,78.86
2/22/2010,80.16
2/19/2010,79.81
2/18/2010,79.06
2/17/2010,77.33
2/16/2010,77.01
2/12/2010,74.13
2/11/2010,75.28
2/10/2010,74.52
2/9/2010,73.75
2/8/2010,71.89
2/5/2010,71.19
2/4/2010,73.14
2/3/2010,76.98
2/2/2010,77.23
2/1/2010,74.43
1/29/2010,72.89
1/28/2010,73.64
1/27/2010,73.67
1/26/2010,74.71
1/25/2010,75.26
1/22/2010,74.54
1/21/2010,76.08
1/20/2010,77.62
1/19/2010,79.02
1/15/2010,78
1/14/2010,79.39
1/13/2010,79.65
1/12/2010,80.79
1/11/2010,82.52
1/8/2010,82.75
1/7/2010,82.66
1/6/2010,83.18
1/5/2010,81.77
1/4/2010,81.51
12/31/2009,79.36
12/30/2009,79.28
12/29/2009,78.87
12/28/2009,78.77
12/24/2009,78.05
12/23/2009,76.67
12/22/2009,74.4
12/21/2009,72.47
12/18/2009,73.36
12/17/2009,72.65
12/16/2009,72.66
12/15/2009,70.69
12/14/2009,69.51
12/11/2009,69.87
12/10/2009,70.54
12/9/2009,70.67
12/8/2009,72.62
12/7/2009,73.93
12/4/2009,75.47
12/3/2009,76.46
12/2/2009,76.6
12/1/2009,78.37
11/30/2009,77.28
11/27/2009,76.05
11/25/2009,77.96
11/24/2009,76.02
11/23/2009,77.56
11/20/2009,76.72
11/19/2009,77.46
11/18/2009,79.58
11/17/2009,79.14
11/16/2009,78.9
11/13/2009,76.35
11/12/2009,76.94
11/11/2009,79.28
11/10/2009,79.05
11/9/2009,79.43
